Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
62;23063;"Circulation Research";journal;"00097330, 15244571";4,903;Q1;385;253;889;16180;10967;759;10,73;63,95;39,66;0;108;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1953-2023";"Cardiology and Cardiovascular Medicine (Q1); Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
63;19700182758;"Nature Communications";journal;"20411723";4,887;Q1;522;8240;20805;509160;312714;20403;13,79;61,79;37,09;90;2420;United Kingdom;Western Europe;"Nature Publishing Group";"2010-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
64;21100394875;"Cell Systems";journal;"24054720, 24054712";4,872;Q1;87;94;312;6114;2253;267;6,84;65,04;33,33;0;17;United States;Northern America;"Cell Press";"2015-2023";"Cell Biology (Q1); Histology (Q1); Pathology and Forensic Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
65;12611;"Drug Resistance Updates";journal;"13687646, 15322084";4,665;Q1;132;74;76;6493;1477;75;17,53;87,74;34,58;0;59;United States;Northern America;"Churchill Livingstone";"1998-2023";"Cancer Research (Q1); Infectious Diseases (Q1); Oncology (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
66;21101133552;"Blood cancer discovery";journal;"26433230, 26433249";4,640;Q1;25;42;128;1802;959;125;8,13;42,90;35,32;0;33;United States;Northern America;"NLM (Medline)";"2020-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Cancer Research (Q1); Hematology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
67;29263;"Clinical Cancer Research";journal;"10780432, 15573265";4,623;Q1;377;541;2035;19863;19126;1944;9,00;36,72;43,31;0;440;United States;Northern America;"American Association for Cancer Research Inc.";"1995-2023";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
68;21677;"American Journal of Human Genetics";journal;"15376605, 00029297";4,516;Q1;330;168;531;8773;4022;500;6,82;52,22;50,01;1;40;United States;Northern America;"Cell Press";"1950-2023";"Genetics (Q1); Genetics (clinical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
69;21100445640;"Trends in Cancer";journal;"24058033, 24058025";4,513;Q1;90;111;338;7747;3828;324;9,71;69,79;40,00;0;99;United States;Northern America;"Cell Press";"2015-2023";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
70;14280;"Protein Science";journal;"1469896X, 09618368";4,419;Q1;196;287;678;17157;5311;665;8,46;59,78;35,78;0;55;United States;Northern America;"Wiley-Blackwell";"1992-2023";"Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
71;19600166320;"Protein and Cell";journal;"16748018, 1674800X";4,412;Q1;94;83;257;551;2693;152;12,12;6,64;42,80;0;24;United Kingdom;Western Europe;"Oxford University Press";"2010-2023";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Drug Discovery (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
72;22214;"Genome Research";journal;"15495469, 10889051";4,403;Q1;328;160;510;10782;3412;508;6,13;67,39;38,23;0;43;United States;Northern America;"Cold Spring Harbor Laboratory Press";"1991-2023";"Genetics (Q1); Genetics (clinical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
73;21708;"Annual Review of Genomics and Human Genetics";journal;"15278204, 1545293X";4,361;Q1;129;17;70;2233;632;70;7,96;131,35;55,77;0;1;United States;Northern America;"Annual Reviews Inc.";"2000-2023";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
74;9500153903;"Biological Reviews";journal;"1469185X, 14647931";4,347;Q1;199;116;322;24582;4338;322;12,47;211,91;37,74;3;45;United States;Northern America;"Wiley-Blackwell";"1924-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
75;21100201068;"Cell Reports";journal;"22111247";4,279;Q1;224;1567;4162;108663;33071;4149;7,37;69,34;41,48;3;499;Netherlands;Western Europe;"Elsevier B.V.";"1970, 2012-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology"
76;21101027628;"Cell Reports Medicine";journal;"26663791";4,276;Q1;50;369;589;20695;5212;494;8,40;56,08;43,37;2;246;United States;Northern America;"Cell Press";"2020-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology"
77;21100797856;"Journal of Extracellular Vesicles";journal;"20013078";4,268;Q1;112;90;339;6069;5236;323;14,91;67,43;47,22;0;35;United States;Northern America;"John Wiley & Sons Inc.";"2012-2023";"Cell Biology (Q1); Histology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
78;21100819064;"Cell Discovery";journal;"20565968";4,198;Q1;59;118;342;5322;3424;228;7,95;45,10;41,54;1;43;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2023";"Biochemistry (Q1); Cell Biology (Q1); Genetics (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
